timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654227017261,97,https://hls.demoblaze.com/index.m3u8,200,OK,Performence Test Thread 1-1,text,true,,1266,359,11,11,https://hls.demoblaze.com/index.m3u8,97,0,75
1654227017359,22,https://hls.demoblaze.com/about_demo_hls_600k.m3u8,200,OK,Performence Test Thread 1-1,text,true,,6069,373,11,11,https://hls.demoblaze.com/about_demo_hls_600k.m3u8,22,0,0
1654227017023,446,https://api.demoblaze.com/entries,200,OK,Performence Test Thread 1-2,text,true,,2931,356,11,11,https://api.demoblaze.com/entries,446,0,110
1654227017381,128,https://hls.demoblaze.com/about_demo_hls_600k00000.ts,200,OK,Performence Test Thread 1-1,text,true,,542960,376,11,11,https://hls.demoblaze.com/about_demo_hls_600k00000.ts,22,0,0
1654227014920,2585,Load Website URL,200,"Number of samples in transaction : 6, number of failing samples : 0",Performence Test Thread 1-1,,true,,1513515,10503,11,11,null,1357,5,351
1654227017258,287,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-6,text,true,,379,437,11,11,https://www.demoblaze.com/config.json,287,0,0
1654227017469,81,https://hls.demoblaze.com/index.m3u8,200,OK,Performence Test Thread 1-2,text,true,,1272,359,11,11,https://hls.demoblaze.com/index.m3u8,81,0,61
1654227017550,21,https://hls.demoblaze.com/about_demo_hls_600k.m3u8,200,OK,Performence Test Thread 1-2,text,true,,6069,373,12,12,https://hls.demoblaze.com/about_demo_hls_600k.m3u8,20,0,0
1654227016361,1278,https://www.demoblaze.com/index.html,200,OK,Performence Test Thread 1-7,text,true,,962084,8602,12,12,https://www.demoblaze.com/index.html,196,0,108
1654227016361,224,https://www.demoblaze.com/index.html-0,200,OK,Performence Test Thread 1-7,text,true,,19902,521,12,12,https://www.demoblaze.com/index.html,196,0,108
1654227016586,239,https://www.demoblaze.com/index.html-1,200,OK,Performence Test Thread 1-7,bin,true,,5860,522,12,12,https://www.demoblaze.com/favicon.ico,225,0,137
1654227016586,561,https://www.demoblaze.com/index.html-2,200,OK,Performence Test Thread 1-7,text,true,,151281,560,12,12,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,443,0,143
1654227016586,532,https://www.demoblaze.com/index.html-3,200,OK,Performence Test Thread 1-7,text,true,,40312,554,12,12,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,451,0,139
1654227016586,302,https://www.demoblaze.com/index.html-4,200,OK,Performence Test Thread 1-7,text,true,,1344,528,12,12,https://www.demoblaze.com/css/latofonts.css,302,0,0
1654227016586,431,https://www.demoblaze.com/index.html-5,200,OK,Performence Test Thread 1-7,text,true,,1080,528,12,12,https://www.demoblaze.com/css/latostyle.css,431,0,137
1654227016586,227,https://www.demoblaze.com/index.html-6,200,OK,Performence Test Thread 1-7,bin,true,,4263,517,12,12,https://www.demoblaze.com/bm.png,222,0,136
1654227016813,290,https://www.demoblaze.com/index.html-7,200,OK,Performence Test Thread 1-7,bin,true,,27679,523,12,12,https://www.demoblaze.com/Samsung1.jpg,231,0,135
1654227016825,515,https://www.demoblaze.com/index.html-8,200,OK,Performence Test Thread 1-7,bin,true,,34140,521,12,12,https://www.demoblaze.com/nexus1.jpg,445,0,144
1654227016888,453,https://www.demoblaze.com/index.html-9,200,OK,Performence Test Thread 1-7,bin,true,,34899,522,12,12,https://www.demoblaze.com/iphone1.jpg,420,0,116
1654227017018,270,https://www.demoblaze.com/index.html-10,200,OK,Performence Test Thread 1-7,text,true,,35901,549,12,12,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,196,0,113
1654227017103,536,https://www.demoblaze.com/index.html-11,200,OK,Performence Test Thread 1-7,text,true,,481577,550,12,12,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,311,0,0
1654227017118,386,https://www.demoblaze.com/index.html-12,200,OK,Performence Test Thread 1-7,text,true,,72790,575,12,12,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,236,0,142
1654227017147,254,https://www.demoblaze.com/index.html-13,200,OK,Performence Test Thread 1-7,text,true,,25287,552,12,12,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,196,0,111
1654227017288,95,https://www.demoblaze.com/index.html-14,200,OK,Performence Test Thread 1-7,text,true,,15511,558,12,12,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,84,0,0
1654227017340,106,https://www.demoblaze.com/index.html-15,200,OK,Performence Test Thread 1-7,text,true,,10258,522,12,12,https://www.demoblaze.com/js/index.js,98,0,0
1654227017197,466,https://api.demoblaze.com/entries,200,OK,Performence Test Thread 1-3,text,true,,2931,356,12,12,https://api.demoblaze.com/entries,465,0,126
